Row ID,Order ID,Order Date,Ship Date,Customer ID,Country,City,State,Postal Code,Region,Product ID,Category,Sub-Category,Product Name,Sales,Quantity
12,CA-2016-115812,09-06-2016,14-06-2016,BH-11710,United States,Los Angeles,California,90032,West,TEC-PH-10002033,Technology,Phones,Konftel 250 Conference phone - Charcoal black,911.424,3
13,CA-2019-114412,15-04-2019,20-04-2019,AA-10480,United States,Concord,North Carolina,28027,South,OFF-PA-10002365,Office Supplies,Paper,Xerox 1967,15.552,3
14,CA-2018-161389,05-12-2018,10-12-2018,IM-15070,United States,Seattle,Washington,98103,West,OFF-BI-10003656,Office Supplies,Binders,Fellowes PB200 Plastic Comb Binding Machine,407.976,3
15,US-2017-118983,22-11-2017,26-11-2017,HP-14815,United States,Fort Worth,Texas,76106,Central,OFF-AP-10002311,Office Supplies,Appliances,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,6
16,US-2017-118983,22-11-2017,26-11-2017,HP-14815,United States,Fort Worth,Texas,76106,Central,OFF-BI-10000756,Office Supplies,Binders,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3
17,CA-2016-105893,11-11-2016,18-11-2016,PK-19075,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,Office Supplies,Storage,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6
18,CA-2016-167164,13-05-2016,15-05-2016,AG-10270,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,Office Supplies,Storage,Fellowes Super Stor/Drawer,55.5,1
19,CA-2016-143336,27-08-2016,01-09-2016,ZD-21925,United States,San Francisco,California,94109,West,OFF-AR-10003056,Office Supplies,Art,Newell 341,8.56,2
20,CA-2016-143336,27-08-2016,01-09-2016,ZD-21925,United States,San Francisco,California,94109,West,TEC-PH-10001949,Technology,Phones,Cisco SPA 501G IP Phone,213.48,4
21,CA-2016-143336,27-08-2016,01-09-2016,ZD-21925,United States,San Francisco,California,94109,West,OFF-BI-10002215,Office Supplies,Binders,"Wilson Jones Hanging View Binder, White, 1""",22.72,4
22,CA-2018-137330,09-12-2018,13-12-2018,KB-16585,United States,Fremont,Nebraska,68025,Central,OFF-AR-10000246,Office Supplies,Art,Newell 318,19.46,7
23,CA-2018-137330,09-12-2018,13-12-2018,KB-16585,United States,Fremont,Nebraska,68025,Central,OFF-AP-10001492,Office Supplies,Appliances,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,5
24,US-2019-156909,16-07-2019,18-07-2019,SF-20065,United States,Philadelphia,Pennsylvania,19140,East,FUR-CH-10002774,Furniture,Chairs,"Global Deluxe Stacking Chair, Gray",71.372,2
25,CA-2017-106320,25-09-2017,30-09-2017,EB-13870,United States,Orem,Utah,84057,West,FUR-TA-10000577,Furniture,Tables,Bretford CR4500 Series Slim Rectangular Table,1044.63,4
26,CA-2018-121755,16-01-2018,20-01-2018,EH-13945,United States,Los Angeles,California,90049,West,OFF-BI-10001634,Office Supplies,Binders,Wilson Jones Active Use Binders,11.648,2
27,CA-2018-121755,16-01-2018,20-01-2018,EH-13945,United States,Los Angeles,California,90049,West,TEC-AC-10003027,Technology,Accessories,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,4
28,US-2017-150630,17-09-2017,21-09-2017,TB-21520,United States,Philadelphia,Pennsylvania,19140,East,FUR-BO-10004834,Furniture,Bookcases,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,5
29,US-2017-150630,17-09-2017,21-09-2017,TB-21520,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10000474,Office Supplies,Binders,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2
30,US-2017-150630,17-09-2017,21-09-2017,TB-21520,United States,Philadelphia,Pennsylvania,19140,East,FUR-FU-10004848,Furniture,Furnishings,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3
31,US-2017-150630,17-09-2017,21-09-2017,TB-21520,United States,Philadelphia,Pennsylvania,19140,East,OFF-EN-10001509,Office Supplies,Envelopes,Poly String Tie Envelopes,3.264,1
32,US-2017-150630,17-09-2017,21-09-2017,TB-21520,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10004042,Office Supplies,Art,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6
33,US-2017-150630,17-09-2017,21-09-2017,TB-21520,United States,Philadelphia,Pennsylvania,19140,East,OFF-BI-10001525,Office Supplies,Binders,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,7
34,US-2017-150630,17-09-2017,21-09-2017,TB-21520,United States,Philadelphia,Pennsylvania,19140,East,OFF-AR-10001683,Office Supplies,Art,Lumber Crayons,15.76,1
35,CA-2019-107727,19-10-2019,23-10-2019,MA-17560,United States,Houston,Texas,77095,Central,OFF-PA-10000249,Office Supplies,Paper,Easy-staple paper,29.472,4
36,CA-2018-117590,08-12-2018,10-12-2018,GH-14485,United States,Richardson,Texas,75080,Central,TEC-PH-10004977,Technology,Phones,GE 30524EE4,1097.544,6
37,CA-2018-117590,08-12-2018,10-12-2018,GH-14485,United States,Richardson,Texas,75080,Central,FUR-FU-10003664,Furniture,Furnishings,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,7
38,CA-2017-117415,27-12-2017,31-12-2017,SN-20710,United States,Houston,Texas,77041,Central,OFF-EN-10002986,Office Supplies,Envelopes,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,10
39,CA-2017-117415,27-12-2017,31-12-2017,SN-20710,United States,Houston,Texas,77041,Central,FUR-BO-10002545,Furniture,Bookcases,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3
40,CA-2017-117415,27-12-2017,31-12-2017,SN-20710,United States,Houston,Texas,77041,Central,FUR-CH-10004218,Furniture,Chairs,"Global Fabric Manager's Chair, Dark Gray",212.058,3
41,CA-2017-117415,27-12-2017,31-12-2017,SN-20710,United States,Houston,Texas,77041,Central,TEC-PH-10000486,Technology,Phones,Plantronics HL10 Handset Lifter,371.168,4
42,CA-2019-120999,10-09-2019,15-09-2019,LC-16930,United States,Naperville,Illinois,60540,Central,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,147.168,4
43,CA-2018-101343,17-07-2018,22-07-2018,RA-19885,United States,Los Angeles,California,90049,West,OFF-ST-10003479,Office Supplies,Storage,"Eldon Base for stackable storage shelf, platinum",77.88,2
44,CA-2019-139619,19-09-2019,23-09-2019,ES-14080,United States,Melbourne,Florida,32935,South,OFF-ST-10003282,Office Supplies,Storage,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,1
45,CA-2018-118255,11-03-2018,13-03-2018,ON-18715,United States,Eagan,Minnesota,55122,Central,TEC-AC-10000171,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,1
46,CA-2018-118255,11-03-2018,13-03-2018,ON-18715,United States,Eagan,Minnesota,55122,Central,OFF-BI-10003291,Office Supplies,Binders,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2
47,CA-2016-146703,20-10-2016,25-10-2016,PO-18865,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,Office Supplies,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,3
48,CA-2018-169194,20-06-2018,25-06-2018,LH-16900,United States,Dover,Delaware,19901,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,4
49,CA-2018-169194,20-06-2018,25-06-2018,LH-16900,United States,Dover,Delaware,19901,East,TEC-PH-10003988,Technology,Phones,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2
50,CA-2017-115742,18-04-2017,22-04-2017,DP-13000,United States,New Albany,Indiana,47150,Central,OFF-BI-10004410,Office Supplies,Binders,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6
51,CA-2017-115742,18-04-2017,22-04-2017,DP-13000,United States,New Albany,Indiana,47150,Central,OFF-LA-10002762,Office Supplies,Labels,Avery 485,75.18,6
52,CA-2017-115742,18-04-2017,22-04-2017,DP-13000,United States,New Albany,Indiana,47150,Central,FUR-FU-10001706,Furniture,Furnishings,Longer-Life Soft White Bulbs,6.16,1
53,CA-2017-115742,18-04-2017,22-04-2017,DP-13000,United States,New Albany,Indiana,47150,Central,FUR-CH-10003061,Furniture,Chairs,"Global Leather Task Chair, Black",89.99,2
54,CA-2018-105816,11-12-2018,17-12-2018,JM-15265,United States,New York City,New York,10024,East,OFF-FA-10000304,Office Supplies,Fasteners,Advantus Push Pins,15.26,6
55,CA-2018-105816,11-12-2018,17-12-2018,JM-15265,United States,New York City,New York,10024,East,TEC-PH-10002447,Technology,Phones,AT&T CL83451 4-Handset Telephone,1029.95,6
56,CA-2018-111682,17-06-2018,18-06-2018,TB-21055,United States,Troy,New York,12180,East,OFF-ST-10000604,Office Supplies,Storage,Home/Office Personal File Carts,208.56,6
57,CA-2018-111682,17-06-2018,18-06-2018,TB-21055,United States,Troy,New York,12180,East,OFF-PA-10001569,Office Supplies,Paper,Xerox 232,32.4,7
58,CA-2018-111682,17-06-2018,18-06-2018,TB-21055,United States,Troy,New York,12180,East,FUR-CH-10003968,Furniture,Chairs,Novimex Turbo Task Chair,319.41,5
59,CA-2018-111682,17-06-2018,18-06-2018,TB-21055,United States,Troy,New York,12180,East,OFF-PA-10000587,Office Supplies,Paper,"Array Parchment Paper, Assorted Colors",14.56,2
60,CA-2018-111682,17-06-2018,18-06-2018,TB-21055,United States,Troy,New York,12180,East,TEC-AC-10002167,Technology,Accessories,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,1
61,CA-2018-111682,17-06-2018,18-06-2018,TB-21055,United States,Troy,New York,12180,East,OFF-BI-10001460,Office Supplies,Binders,Plastic Binding Combs,48.48,4
62,CA-2018-111682,17-06-2018,18-06-2018,TB-21055,United States,Troy,New York,12180,East,OFF-AR-10001868,Office Supplies,Art,Prang Dustless Chalk Sticks,1.68,1
63,CA-2017-135545,24-11-2017,30-11-2017,KM-16720,United States,Los Angeles,California,90004,West,TEC-AC-10004633,Technology,Accessories,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2
64,CA-2017-135545,24-11-2017,30-11-2017,KM-16720,United States,Los Angeles,California,90004,West,OFF-BI-10001078,Office Supplies,Binders,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,5
65,CA-2017-135545,24-11-2017,30-11-2017,KM-16720,United States,Los Angeles,California,90004,West,OFF-PA-10003892,Office Supplies,Paper,Xerox 1943,146.73,4
66,CA-2017-135545,24-11-2017,30-11-2017,KM-16720,United States,Los Angeles,California,90004,West,FUR-FU-10000397,Furniture,Furnishings,Luxo Economy Swing Arm Lamp,79.76,3
67,US-2017-164175,30-04-2017,05-05-2017,PS-18970,United States,Chicago,Illinois,60610,Central,FUR-CH-10001146,Furniture,Chairs,"Global Value Mid-Back Manager's Chair, Gray",213.115,5
68,CA-2016-106376,05-12-2016,10-12-2016,BS-11590,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,Office Supplies,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,9
69,CA-2016-106376,05-12-2016,10-12-2016,BS-11590,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,Technology,Phones,netTALK DUO VoIP Telephone Service,167.968,3
70,CA-2018-119823,04-06-2018,06-06-2018,KD-16270,United States,Springfield,Virginia,22153,South,OFF-PA-10000482,Office Supplies,Paper,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2
71,CA-2018-106075,18-09-2018,23-09-2018,HM-14980,United States,New York City,New York,10009,East,OFF-BI-10004654,Office Supplies,Binders,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1
72,CA-2019-114440,14-09-2019,17-09-2019,TB-21520,United States,Jackson,Michigan,49201,Central,OFF-PA-10004675,Office Supplies,Paper,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,4
73,US-2017-134026,26-04-2017,02-05-2017,JE-15745,United States,Memphis,Tennessee,38109,South,FUR-CH-10000513,Furniture,Chairs,High-Back Leather Manager's Chair,831.936,9
74,US-2017-134026,26-04-2017,02-05-2017,JE-15745,United States,Memphis,Tennessee,38109,South,FUR-FU-10003708,Furniture,Furnishings,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,1
75,US-2017-134026,26-04-2017,02-05-2017,JE-15745,United States,Memphis,Tennessee,38109,South,OFF-ST-10004123,Office Supplies,Storage,Safco Industrial Wire Shelving System,72.784,2
76,US-2019-118038,09-12-2019,11-12-2019,KB-16600,United States,Houston,Texas,77041,Central,OFF-BI-10004182,Office Supplies,Binders,Economy Binders,1.248,4
77,US-2019-118038,09-12-2019,11-12-2019,KB-16600,United States,Houston,Texas,77041,Central,FUR-FU-10000260,Furniture,Furnishings,"6"" Cubicle Wall Clock, Black",9.708,4
78,US-2019-118038,09-12-2019,11-12-2019,KB-16600,United States,Houston,Texas,77041,Central,OFF-ST-10000615,Office Supplies,Storage,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3
79,US-2016-147606,26-11-2016,01-12-2016,JE-15745,United States,Houston,Texas,77070,Central,FUR-FU-10003194,Furniture,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,6
80,CA-2018-127208,12-06-2018,15-06-2018,SC-20770,United States,Decatur,Alabama,35601,South,OFF-AP-10002118,Office Supplies,Appliances,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1
81,CA-2018-127208,12-06-2018,15-06-2018,SC-20770,United States,Decatur,Alabama,35601,South,OFF-BI-10002309,Office Supplies,Binders,Avery Heavy-Duty EZD  Binder With Locking Rings,16.74,4
82,CA-2016-139451,12-10-2016,16-10-2016,DN-13690,United States,San Francisco,California,94122,West,OFF-AR-10002053,Office Supplies,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,7
83,CA-2016-139451,12-10-2016,16-10-2016,DN-13690,United States,San Francisco,California,94122,West,OFF-ST-10002370,Office Supplies,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,2
84,CA-2017-149734,03-09-2017,08-09-2017,JC-16105,United States,Durham,North Carolina,27707,South,OFF-EN-10000927,Office Supplies,Envelopes,Jet-Pak Recycled Peel 'N' Seal Padded Mailers,200.984,7
85,US-2019-119662,13-11-2019,16-11-2019,CS-12400,United States,Chicago,Illinois,60623,Central,OFF-ST-10003656,Office Supplies,Storage,Safco Industrial Wire Shelving,230.376,3
86,CA-2019-140088,28-05-2019,30-05-2019,PO-18865,United States,Columbia,South Carolina,29203,South,FUR-CH-10000863,Furniture,Chairs,Novimex Swivel Fabric Task Chair,301.96,2
87,CA-2019-155558,26-10-2019,02-11-2019,PG-18895,United States,Rochester,Minnesota,55901,Central,TEC-AC-10001998,Technology,Accessories,Logitech LS21 Speaker System - PC Multimedia - 2.1-CH - Wired,19.99,2
88,CA-2019-155558,26-10-2019,02-11-2019,PG-18895,United States,Rochester,Minnesota,55901,Central,OFF-LA-10000134,Office Supplies,Labels,Avery 511,6.16,1
89,CA-2018-159695,05-04-2018,10-04-2018,GM-14455,United States,Houston,Texas,77095,Central,OFF-ST-10003442,Office Supplies,Storage,Eldon Portable Mobile Manager,158.368,5
90,CA-2018-109806,17-09-2018,22-09-2018,JS-15685,United States,Los Angeles,California,90036,West,OFF-AR-10004930,Office Supplies,Art,Turquoise Lead Holder with Pocket Clip,20.1,3
91,CA-2018-109806,17-09-2018,22-09-2018,JS-15685,United States,Los Angeles,California,90036,West,TEC-PH-10004093,Technology,Phones,Panasonic Kx-TS550,73.584,1
92,CA-2018-109806,17-09-2018,22-09-2018,JS-15685,United States,Los Angeles,California,90036,West,OFF-PA-10000304,Office Supplies,Paper,Xerox 1995,6.48,1
93,CA-2017-149587,31-01-2017,05-02-2017,KB-16315,United States,Minneapolis,Minnesota,55407,Central,OFF-PA-10003177,Office Supplies,Paper,Xerox 1999,12.96,1
94,CA-2017-149587,31-01-2017,05-02-2017,KB-16315,United States,Minneapolis,Minnesota,55407,Central,FUR-FU-10003799,Furniture,Furnishings,"Seth Thomas 13 1/2"" Wall Clock",53.34,4
95,CA-2017-149587,31-01-2017,05-02-2017,KB-16315,United States,Minneapolis,Minnesota,55407,Central,OFF-BI-10002852,Office Supplies,Binders,Ibico Standard Transparent Covers,32.96,1
96,US-2019-109484,06-11-2019,12-11-2019,RB-19705,United States,Portland,Oregon,97206,West,OFF-BI-10004738,Office Supplies,Binders,Flexible Leather- Look Classic Collection Ring Binder,5.682,1
97,CA-2019-161018,09-11-2019,11-11-2019,PN-18775,United States,New York City,New York,10009,East,FUR-FU-10000629,Furniture,Furnishings,9-3/4 Diameter Round Wall Clock,96.53,6
98,CA-2019-157833,17-06-2019,20-06-2019,KD-16345,United States,San Francisco,California,94122,West,OFF-BI-10001721,Office Supplies,Binders,Trimflex Flexible Post Binders,51.312,3
99,CA-2018-149223,06-09-2018,11-09-2018,ER-13855,United States,Saint Paul,Minnesota,55106,Central,OFF-AP-10000358,Office Supplies,Appliances,Fellowes Basic Home/Office Series Surge Protectors,77.88,6
100,CA-2018-158568,29-08-2018,02-09-2018,RB-19465,United States,Chicago,Illinois,60610,Central,OFF-PA-10003256,Office Supplies,Paper,Avery Personal Creations Heavyweight Cards,64.624,5
101,CA-2018-158568,29-08-2018,02-09-2018,RB-19465,United States,Chicago,Illinois,60610,Central,TEC-AC-10001767,Technology,Accessories,SanDisk Ultra 64 GB MicroSDHC Class 10 Memory Card,95.976,4
102,CA-2018-158568,29-08-2018,02-09-2018,RB-19465,United States,Chicago,Illinois,60610,Central,OFF-BI-10002609,Office Supplies,Binders,Avery Hidden Tab Dividers for Binding Systems,1.788,3
103,CA-2018-129903,01-12-2018,04-12-2018,GZ-14470,United States,Rochester,Minnesota,55901,Central,OFF-PA-10004040,Office Supplies,Paper,Universal Premium White Copier/Laser Paper (20Lb. and 87 Bright),23.92,4
104,US-2017-156867,13-11-2017,17-11-2017,LC-16870,United States,Aurora,Colorado,80013,West,TEC-AC-10001552,Technology,Accessories,Logitech K350 2.4Ghz Wireless Keyboard,238.896,5
105,US-2017-156867,13-11-2017,17-11-2017,LC-16870,United States,Aurora,Colorado,80013,West,FUR-FU-10004006,Furniture,Furnishings,"Deflect-o DuraMat Lighweight, Studded, Beveled Mat for Low Pile Carpeting",102.36,4
106,US-2017-156867,13-11-2017,17-11-2017,LC-16870,United States,Aurora,Colorado,80013,West,OFF-BI-10002794,Office Supplies,Binders,"Avery Trapezoid Ring Binder, 3"" Capacity, Black, 1040 sheets",36.882,3
107,CA-2019-119004,23-11-2019,28-11-2019,JM-15250,United States,Charlotte,North Carolina,28205,South,TEC-AC-10003499,Technology,Accessories,Memorex Mini Travel Drive 8 GB USB 2.0 Flash Drive,74.112,9
108,CA-2019-119004,23-11-2019,28-11-2019,JM-15250,United States,Charlotte,North Carolina,28205,South,TEC-PH-10002844,Technology,Phones,Speck Products Candyshell Flip Case,27.992,2
109,CA-2019-119004,23-11-2019,28-11-2019,JM-15250,United States,Charlotte,North Carolina,28205,South,OFF-AR-10000390,Office Supplies,Art,Newell Chalk Holder,3.304,1
110,CA-2017-129476,15-10-2017,20-10-2017,PA-19060,United States,Orland Park,Illinois,60462,Central,TEC-AC-10000844,Technology,Accessories,Logitech Gaming G510s - Keyboard,339.96,7
111,CA-2019-146780,25-12-2019,30-12-2019,CV-12805,United States,New York City,New York,10035,East,FUR-FU-10001934,Furniture,Furnishings,Magnifier Swing Arm Lamp,41.96,2
112,CA-2018-128867,03-11-2018,10-11-2018,CL-12565,United States,Urbandale,Iowa,50322,Central,OFF-AR-10000380,Office Supplies,Art,"Hunt PowerHouse Electric Pencil Sharpener, Blue",75.96,2
113,CA-2018-128867,03-11-2018,10-11-2018,CL-12565,United States,Urbandale,Iowa,50322,Central,OFF-BI-10003981,Office Supplies,Binders,"Avery Durable Plastic 1"" Binders",27.24,7
114,CA-2016-115259,25-08-2016,27-08-2016,RC-19960,United States,Columbus,Ohio,43229,East,OFF-FA-10000621,Office Supplies,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.096,14
115,CA-2016-115259,25-08-2016,27-08-2016,RC-19960,United States,Columbus,Ohio,43229,East,OFF-EN-10002600,Office Supplies,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2
116,CA-2016-115259,25-08-2016,27-08-2016,RC-19960,United States,Columbus,Ohio,43229,East,OFF-PA-10004965,Office Supplies,Paper,Xerox 1921,23.976,3
117,CA-2016-115259,25-08-2016,27-08-2016,RC-19960,United States,Columbus,Ohio,43229,East,OFF-EN-10002504,Office Supplies,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.464,5
118,CA-2017-110457,02-03-2017,06-03-2017,DK-13090,United States,Seattle,Washington,98103,West,FUR-TA-10001768,Furniture,Tables,Hon Racetrack Conference Tables,787.53,3
119,US-2017-136476,05-04-2017,10-04-2017,GG-14650,United States,Bristol,Tennessee,37620,South,OFF-BI-10003650,Office Supplies,Binders,GBC DocuBind 300 Electric Binding Machine,157.794,1
120,CA-2018-103730,12-06-2018,15-06-2018,SC-20725,United States,Wilmington,Delaware,19805,East,FUR-FU-10002157,Furniture,Furnishings,Artistic Insta-Plaque,47.04,4
121,CA-2018-103730,12-06-2018,15-06-2018,SC-20725,United States,Wilmington,Delaware,19805,East,OFF-BI-10003910,Office Supplies,Binders,DXL Angle-View Binders with Locking Rings by Samsill,30.84,3
122,CA-2018-103730,12-06-2018,15-06-2018,SC-20725,United States,Wilmington,Delaware,19805,East,OFF-ST-10000777,Office Supplies,Storage,"Companion Letter/Legal File, Black",226.56,5
123,CA-2018-103730,12-06-2018,15-06-2018,SC-20725,United States,Wilmington,Delaware,19805,East,OFF-EN-10002500,Office Supplies,Envelopes,Globe Weis Peel & Seel First Class Envelopes,115.02,10
124,CA-2018-103730,12-06-2018,15-06-2018,SC-20725,United States,Wilmington,Delaware,19805,East,TEC-PH-10003875,Technology,Phones,KLD Oscar II Style Snap-on Ultra Thin Side Flip Synthetic Leather Cover Case for HTC One HTC M7,68.04,6
125,US-2016-152030,26-12-2016,28-12-2016,AD-10180,United States,Houston,Texas,77041,Central,FUR-CH-10004063,Furniture,Chairs,Global Deluxe High-Back Manager's Chair,600.558,3
126,US-2016-134614,20-09-2016,25-09-2016,PF-19165,United States,Bloomington,Illinois,61701,Central,FUR-TA-10004534,Furniture,Tables,Bevis 44 x 96 Conference Tables,617.7,7
127,US-2019-107272,05-11-2019,12-11-2019,TS-21610,United States,Phoenix,Arizona,85023,West,OFF-BI-10003274,Office Supplies,Binders,"Avery Durable Slant Ring Binders, No Labels",2.388,1
128,US-2019-107272,05-11-2019,12-11-2019,TS-21610,United States,Phoenix,Arizona,85023,West,OFF-ST-10002974,Office Supplies,Storage,"Trav-L-File Heavy-Duty Shuttle II, Black",243.992,6
129,US-2018-125969,06-11-2018,10-11-2018,LS-16975,United States,Los Angeles,California,90004,West,FUR-CH-10001146,Furniture,Chairs,"Global Task Chair, Black",81.424,2
130,US-2018-125969,06-11-2018,10-11-2018,LS-16975,United States,Los Angeles,California,90004,West,FUR-FU-10003773,Furniture,Furnishings,Eldon Cleatmat Plus Chair Mats for High Pile Carpets,238.56,4
131,US-2019-164147,02-02-2019,05-02-2019,DW-13585,United States,Columbus,Ohio,43229,East,TEC-PH-10002293,Technology,Phones,Anker 36W 4-Port USB Wall Charger Travel Power Adapter for iPhone 5s 5c 5,59.97,5
132,US-2019-164147,02-02-2019,05-02-2019,DW-13585,United States,Columbus,Ohio,43229,East,OFF-PA-10002377,Office Supplies,Paper,Xerox 1916,78.304,1
133,US-2019-164147,02-02-2019,05-02-2019,DW-13585,United States,Columbus,Ohio,43229,East,OFF-FA-10002780,Office Supplies,Fasteners,Staples,21.456,8
134,CA-2018-145583,13-10-2018,19-10-2018,LC-16885,United States,Roseville,California,95661,West,OFF-PA-10001804,Office Supplies,Paper,Xerox 195,20.04,3
135,CA-2018-145583,13-10-2018,19-10-2018,LC-16885,United States,Roseville,California,95661,West,OFF-PA-10001736,Office Supplies,Paper,Xerox 1880,35.44,1
136,CA-2018-145583,13-10-2018,19-10-2018,LC-16885,United States,Roseville,California,95661,West,OFF-AR-10001149,Office Supplies,Art,"Sanford Colorific Colored Pencils, 12/Box",11.52,3
137,CA-2018-145583,13-10-2018,19-10-2018,LC-16885,United States,Roseville,California,95661,West,OFF-FA-10002988,Office Supplies,Fasteners,Ideal Clamps,4.02,2
138,CA-2018-145583,13-10-2018,19-10-2018,LC-16885,United States,Roseville,California,95661,West,OFF-BI-10004781,Office Supplies,Binders,GBC Wire Binding Strips,76.176,3
139,CA-2018-145583,13-10-2018,19-10-2018,LC-16885,United States,Roseville,California,95661,West,OFF-SU-10001218,Office Supplies,Supplies,Fiskars Softgrip Scissors,65.88,5
